location	address	adname	cityname	id	importance	name	pname	tel	type	typecode	经	纬	places_code	places	keywords
114.166344,22.302715	柯士甸道西1号圆方购物中心1层木区1056-57号(近港铁九龙站)圆方购物中心	油尖旺区	香港特别行政区	B0FFFSTJAQ	[]	ZARA(圆方店)	香港特别行政区	00852-21968970	购物服务;服装鞋帽皮具店;服装鞋帽皮具店	061100	114.166344	22.302715	810000	香港特别行政区	ZARA
114.263642,22.319904	将军澳欣景路8号新都城中心二期商場1F层	西贡区	香港特别行政区	B0FFFXIT36	[]	ZARA(新都城中心二期商場)	香港特别行政区	[]	购物服务;服装鞋帽皮具店;品牌服装店	061101	114.263642	22.319904	810000	香港特别行政区	ZARA
114.263307,22.323558	宝琳北路附近	西贡区	香港特别行政区	B0FFIGZOIY	[]	ZARA(METRO CITY PLAZA II)	香港特别行政区	00852-21640250	购物服务;服装鞋帽皮具店;品牌服装店	061101	114.263307	22.323558	810000	香港特别行政区	ZARA
114.179072,22.334546	达之路80号又一城326	深水埗区	香港特别行政区	B0FFHKWPEF	[]	ZARA HOME	香港特别行政区	00852-31068958	购物服务;家居建材市场;家居建材市场	060600	114.179072	22.334546	810000	香港特别行政区	ZARA
114.173353,22.295658	海港城Tsim SHA Tsui 25,3-27 Canton Rd	油尖旺区	香港特别行政区	B0FFG1XU21	[]	ZARA HOME HONG KONG	香港特别行政区	00852-28805068	购物服务;家居建材市场;家居建材市场	060600	114.173353	22.295658	810000	香港特别行政区	ZARA
113.570400,22.142800	金光大道金沙城中心金沙广场2楼2006号铺	路凼填海区	澳门特别行政区	B0FFFGRCEK	[]	ZARA(金沙城中心店)	澳门特别行政区	00853-28853179	购物服务;服装鞋帽皮具店;品牌服装店	061101	113.570400	22.142800	820000	澳门特别行政区	ZARA
113.565313,22.145960	望德聖母灣大馬路南150米	路凼填海区	澳门特别行政区	B0FFHWQRH8	[]	ZARA(威尼斯人店)	澳门特别行政区	00853-28828235	购物服务;服装鞋帽皮具店;品牌服装店	061101	113.565313	22.145960	820000	澳门特别行政区	ZARA
113.569726,22.143441	金光大道金沙城中心金沙广场2楼2126号铺	路凼填海区	澳门特别行政区	B0FFHAD0TO	[]	Zara Home	澳门特别行政区	00853-28828235	购物服务;专卖店;专营店	061200	113.569726	22.143441	820000	澳门特别行政区	ZARA
114.218633,22.319623	九龙湾伟业街33号福德广场一期G01铺(近港铁九龙湾站)	观塘区	香港特别行政区	B073C0R8SX	[]	ZARA	香港特别行政区	00852-27698770	购物服务;服装鞋帽皮具店;品牌服装店	061101	114.218633	22.319623	810000	香港特别行政区	ZARA
114.112041,22.355625	青衣青敬路33号青衣城	葵青区	香港特别行政区	B073C0R8T0	[]	ZARA	香港特别行政区	00852-24358860	购物服务;服装鞋帽皮具店;品牌服装店	061101	114.112041	22.355625	810000	香港特别行政区	ZARA
114.221988,22.282861	太古城太古城道18号	东区	香港特别行政区	B0FFFXCED6	[]	ZARA	香港特别行政区	[]	购物服务;服装鞋帽皮具店;品牌服装店	061101	114.221988	22.282861	810000	香港特别行政区	ZARA
114.040714,22.441278	元朗元龙街9号形点一期一楼1110-1103舖(西铁元朗站)	元朗区	香港特别行政区	B0FFHA0LMD	[]	ZARA	香港特别行政区	00852-27065532;00852-23423635	购物服务;服装鞋帽皮具店;品牌服装店	061101	114.040714	22.441278	810000	香港特别行政区	ZARA
113.976840,22.378206	海荣路22号屯门中央广场1f/1138	屯门区	香港特别行政区	B0FFFXDRZN	[]	ZARA	香港特别行政区	[]	购物服务;服装鞋帽皮具店;品牌服装店	061101	113.976840	22.378206	810000	香港特别行政区	ZARA
114.186740,22.275290	香港湾仔区铜锣湾勿地臣街1号F3层313-16/ 418-21	湾仔区	香港特别行政区	B073C0R8YD	[]	ZARA(时代广场)	香港特别行政区	00852-25060070	购物服务;服装鞋帽皮具店;品牌服装店	061101	114.186740	22.275290	810000	香港特别行政区	ZARA
114.193646,22.378905	新城市廣場335号	沙田区	香港特别行政区	B073C033XS	[]	ZARA(新城市广场店)	香港特别行政区	00852-26082272	购物服务;服装鞋帽皮具店;品牌服装店	061101	114.193646	22.378905	810000	香港特别行政区	ZARA
113.981812,22.389919	青山公路-青山湾段315号附近	屯门区	香港特别行政区	B073C0R9AG	[]	ZARA(TUEN MUN TOWER PLAZA)	香港特别行政区	00852-24041788	购物服务;服装鞋帽皮具店;品牌服装店	061101	113.981812	22.389919	810000	香港特别行政区	ZARA
114.173113,22.295653	廣東道25號海港城2210-13A-2328-9	油尖旺区	香港特别行政区	B073C048JT	[]	ZARA(海港城)	香港特别行政区	00852-26291858	购物服务;服装鞋帽皮具店;品牌服装店	061101	114.173113	22.295653	810000	香港特别行政区	ZARA
114.166344,22.302715	柯士甸道西1号圆方购物中心1层木区1056-57号(近港铁九龙站)圆方购物中心	油尖旺区	香港特别行政区	B0FFFSTJAQ	[]	ZARA(圆方店)	香港特别行政区	00852-21968970	购物服务;服装鞋帽皮具店;服装鞋帽皮具店	061100	114.166344	22.302715	810000	香港特别行政区	ZARA
114.263642,22.319904	将军澳欣景路8号新都城中心二期商場1F层	西贡区	香港特别行政区	B0FFFXIT36	[]	ZARA(新都城中心二期商場)	香港特别行政区	[]	购物服务;服装鞋帽皮具店;品牌服装店	061101	114.263642	22.319904	810000	香港特别行政区	ZARA
114.263307,22.323558	宝琳北路附近	西贡区	香港特别行政区	B0FFIGZOIY	[]	ZARA(METRO CITY PLAZA II)	香港特别行政区	00852-21640250	购物服务;服装鞋帽皮具店;品牌服装店	061101	114.263307	22.323558	810000	香港特别行政区	ZARA
114.179072,22.334546	达之路80号又一城326	深水埗区	香港特别行政区	B0FFHKWPEF	[]	ZARA HOME	香港特别行政区	00852-31068958	购物服务;家居建材市场;家居建材市场	060600	114.179072	22.334546	810000	香港特别行政区	ZARA
114.173353,22.295658	海港城Tsim SHA Tsui 25,3-27 Canton Rd	油尖旺区	香港特别行政区	B0FFG1XU21	[]	ZARA HOME HONG KONG	香港特别行政区	00852-28805068	购物服务;家居建材市场;家居建材市场	060600	114.173353	22.295658	810000	香港特别行政区	ZARA
116.373359,39.910351	西单北大街甲131号西单大悦城2层2F-01	西城区	北京市	B000A87JJH	[]	ZARA(西单大悦城)	北京市	010-59716350	购物服务;服装鞋帽皮具店;品牌服装店	061101	116.373359	39.910351	110000	北京市	ZARA
116.475205,39.909149	建国路91号金地广场F1层L110、F2层	朝阳区	北京市	B000AA1BV0	[]	ZARA(金地广场)	北京市	010-85712577	购物服务;服装鞋帽皮具店;品牌服装店	061101	116.475205	39.909149	110000	北京市	ZARA
116.323377,39.965108	中关村南大街2号数码大厦B座华宇时尚购物中心1层	海淀区	北京市	B000A8XEVY	[]	ZARA(华宇时尚购物中心)	北京市	010-51627180	购物服务;服装鞋帽皮具店;品牌服装店	061101	116.323377	39.965108	110000	北京市	ZARA
116.398328,39.895373	前门大街54-56号	东城区	北京市	B000A85HDR	[]	ZARA(前门大街店)	北京市	010-67017060	购物服务;服装鞋帽皮具店;品牌服装店	061101	116.398328	39.895373	110000	北京市	ZARA
116.411605,39.914221	王府井大街138号东安市场2层	东城区	北京市	B000A853W7	[]	ZARA(北京apm)	北京市	010-58177850	购物服务;服装鞋帽皮具店;品牌服装店	061101	116.411605	39.914221	110000	北京市	ZARA
116.468742,39.993122	广顺北大街33号凯德MALL.望京2层02-24-28	朝阳区	北京市	B000A8X1CA	[]	ZARA(望京凯德MALL店)	北京市	010-84710150	购物服务;服装鞋帽皮具店;品牌服装店	061101	116.468742	39.993122	110000	北京市	ZARA
116.432404,39.990409	北四环东路73号远洋·未来广场购物中心1层	朝阳区	北京市	B000A9VBS0	[]	ZARA(远洋·未来广场购物中心)	北京市	010-84445600	购物服务;服装鞋帽皮具店;品牌服装店	061101	116.432404	39.990409	110000	北京市	ZARA
116.432065,39.939980	东直门南大街1-1号来福士F1层l2-14-16	东城区	北京市	B0FFF3KL8T	[]	ZARA(来福士)	北京市	010-84098640	购物服务;服装鞋帽皮具店;品牌服装店	061101	116.432065	39.939980	110000	北京市	ZARA
116.450956,39.916240	光华路9号1层L122、2层L216、3层L316-L317	朝阳区	北京市	B0FFF6XDXH	[]	ZARA(世贸天阶店)	北京市	010-65871345	购物服务;服装鞋帽皮具店;品牌服装店	061101	116.450956	39.916240	110000	北京市	ZARA
116.460743,39.896283	东三环中路65号北京富力广场购物中心F1层104、105、106、107、108、108a	朝阳区	北京市	B0FFHDEMEY	[]	ZARA(富力广场店)	北京市	010-59037540	购物服务;服装鞋帽皮具店;品牌服装店	061101	116.460743	39.896283	110000	北京市	ZARA
116.475348,39.949364	朝阳公园路6号蓝色港湾国际商区M层SM-48	朝阳区	北京市	B000ABCFE2	[]	ZARA(蓝色港湾国际商区)	北京市	010-59056100;010-59056666	购物服务;服装鞋帽皮具店;品牌服装店	061101	116.475348	39.949364	110000	北京市	ZARA
116.518602,39.924282	朝阳北路101号朝阳大悦城1-2层	朝阳区	北京市	B0FFGPMLL7	[]	ZARA(朝阳大悦城)	北京市	010-85516420	购物服务;服装鞋帽皮具店;品牌服装店	061101	116.518602	39.924282	110000	北京市	ZARA
116.326767,39.788857	欣宁街15号荟聚购物中心2层4-02-115-MSU	大兴区	北京市	B0FFFQ0YH8	[]	ZARA(荟聚购物中心)	北京市	010-50954710	购物服务;服装鞋帽皮具店;品牌服装店	061101	116.326767	39.788857	110000	北京市	ZARA
116.642127,39.905752	新华西街58号万达广场1F层	通州区	北京市	B0FFFKGUH7	[]	ZARA(万达广场)	北京市	010-81597166	购物服务;服装鞋帽皮具店;品牌服装店	061101	116.642127	39.905752	110000	北京市	ZARA
116.225373,39.906039	石景山路乙18号院2号万达广场万达百货1层	石景山区	北京市	B000AAB16D	[]	ZARA(万达广场)	北京市	010-88689551	购物服务;服装鞋帽皮具店;品牌服装店	061101	116.225373	39.906039	110000	北京市	ZARA
116.298958,39.824755	丰科路与五圈路交叉口丰台万达广场丰科店1层-A	丰台区	北京市	B0FFHJQWRC	[]	ZARA(万达广场)	北京市	010-63726716	购物服务;服装鞋帽皮具店;品牌服装店	061101	116.298958	39.824755	110000	北京市	ZARA
116.439338,39.921663	朝阳门外大街三丰北里2号楼悠唐购物中心1层	朝阳区	北京市	B0FFFFN4YV	[]	ZARA(悠唐店)	北京市	010-59775810	购物服务;服装鞋帽皮具店;品牌服装店	061101	116.439338	39.921663	110000	北京市	ZARA
116.290225,40.096440	北清路1号院1号楼永旺F1-F2层	昌平区	北京市	B0FFF6XDXK	[]	ZARA(永旺国际商城店)	北京市	010-80700770	购物服务;服装鞋帽皮具店;品牌服装店	061101	116.290225	40.096440	110000	北京市	ZARA
116.478483,39.893802	西大望路21号合生汇购物中心	朝阳区	北京市	B0FFIKJNPF	[]	ZARA(合生汇)	北京市	[]	购物服务;服装鞋帽皮具店;品牌服装店	061101	116.478483	39.893802	110000	北京市	ZARA
116.602391,39.924997	朝阳北路管庄路口往东200米龙湖长楹天街购物中心东区F2层东区-2F-22ab&23&24&25&26	朝阳区	北京市	B0FFGERVU4	[]	ZARA(长楹天街购物中心店)	北京市	010-85094630	购物服务;服装鞋帽皮具店;品牌服装店	061101	116.602391	39.924997	110000	北京市	ZARA
116.432034,39.990739	北四环东路73号远洋未来广场1层	朝阳区	北京市	B000AAA8SK	[]	ZARA HOME(远洋·未来广场购物中心)	北京市	[]	购物服务;家居建材市场;家居建材市场	060600	116.432034	39.990739	110000	北京市	ZARA
116.475276,39.948772	朝阳公园路6号蓝色港湾国际商区M层SA-28	朝阳区	北京市	B000A8VX7I	[]	ZARA HOME(蓝色港湾店)	北京市	010-59051930	购物服务;家居建材市场;家具建材综合市场	060601	116.475276	39.948772	110000	北京市	ZARA
116.451980,39.916252	光华路甲9号世贸天阶南街L1层L128&L129	朝阳区	北京市	B0FFH4LLA9	[]	ZARA HOME(世贸天阶南街)	北京市	010-65871450;010-65871345	购物服务;专卖店;专营店|购物服务;家居建材市场;家居建材市场	061200|060600	116.451980	39.916252	110000	北京市	ZARA
116.518279,39.925054	朝阳北路101号朝阳大悦城F1层	朝阳区	北京市	B0FFFZNA17	[]	ZARA HOME(朝阳大悦城)	北京市	010-85529080	购物服务;家居建材市场;布艺市场	060605	116.518279	39.925054	110000	北京市	ZARA
116.600919,39.924925	朝阳北路管庄路口往东200米龙湖长楹天街购物中心东区F1层东区-1F-32-33	朝阳区	北京市	B0FFFSWBUT	[]	ZARA HOME(龙湖长楹天街购物中心东区)	北京市	010-65773279	购物服务;家居建材市场;家居建材市场	060600	116.600919	39.924925	110000	北京市	ZARA
116.441330,39.909061	建国门外大街19号国际大厦A座5层5-05	朝阳区	北京市	B000A9WG0H	[]	飒拉商业北京公司	北京市	[]	公司企业;公司;公司	170200	116.441330	39.909061	110000	北京市	ZARA
106.258038,29.996443	合阳城街道步步高新天地2楼	合川区	重庆市	B0FFHOTT37	[]	ZARA	重庆市	[]	购物服务;服装鞋帽皮具店;品牌服装店	061101	106.258038	29.996443	500000	重庆市	ZARA
106.461692,29.558151	三峡广场步行街6号F1层	沙坪坝区	重庆市	B00178VPAQ	[]	ZARA(煌华新纪元购物广场)	重庆市	023-65009112	购物服务;服装鞋帽皮具店;品牌服装店	061101	106.461692	29.558151	500000	重庆市	ZARA
106.512077,29.535560	石油路174号龙湖·时代天街C馆1楼	渝中区	重庆市	B0FFH25WGK	[]	ZARA(龙湖时代天街店)	重庆市	023-60337038	购物服务;服装鞋帽皮具店;品牌服装店	061101	106.512077	29.535560	500000	重庆市	ZARA
106.571893,29.522084	江南大道28号星光时代广场	南岸区	重庆市	B0FFFWVMNW	[]	ZARA(星光时代广场)	重庆市	023-62622092	购物服务;服装鞋帽皮具店;品牌服装店	061101	106.571893	29.522084	500000	重庆市	ZARA
106.518027,29.518022	谢家湾正街49号1层LG112	九龙坡区	重庆市	B0FFGPUJAS	[]	ZARA(万象城店)	重庆市	023-68688331	购物服务;服装鞋帽皮具店;品牌服装店	061101	106.518027	29.518022	500000	重庆市	ZARA
106.462197,29.558525	三峡广场华宇时尚商业街D112	沙坪坝区	重庆市	B0FFHED743	[]	ZARA(三峡广场步行街)	重庆市	[]	购物服务;服装鞋帽皮具店;品牌服装店	061101	106.462197	29.558525	500000	重庆市	ZARA
106.532745,29.577419	北城天街8号北城天街购物广场023号	江北区	重庆市	B0FFFOXRFX	[]	ZARA(北城天街店)	重庆市	023-67623580	购物服务;服装鞋帽皮具店;品牌服装店	061101	106.532745	29.577419	500000	重庆市	ZARA
106.548268,29.641011	金开大道1003号爱琴海购物公园1层	渝北区	重庆市	B0FFH4WF3Z	[]	ZARA(爱琴海购物公园店)	重庆市	023-63023601	购物服务;服装鞋帽皮具店;品牌服装店	061101	106.548268	29.641011	500000	重庆市	ZARA
113.570400,22.142800	金光大道金沙城中心金沙广场2楼2006号铺	路凼填海区	澳门特别行政区	B0FFFGRCEK	[]	ZARA(金沙城中心店)	澳门特别行政区	00853-28853179	购物服务;服装鞋帽皮具店;品牌服装店	061101	113.570400	22.142800	820000	澳门特别行政区	ZARA
113.565313,22.145960	望德聖母灣大馬路南150米	路凼填海区	澳门特别行政区	B0FFHWQRH8	[]	ZARA(威尼斯人店)	澳门特别行政区	00853-28828235	购物服务;服装鞋帽皮具店;品牌服装店	061101	113.565313	22.145960	820000	澳门特别行政区	ZARA
113.569726,22.143441	金光大道金沙城中心金沙广场2楼2126号铺	路凼填海区	澳门特别行政区	B0FFHAD0TO	[]	Zara Home	澳门特别行政区	00853-28828235	购物服务;专卖店;专营店	061200	113.569726	22.143441	820000	澳门特别行政区	ZARA
113.888637,22.552557	新湖路附近	宝安区	深圳市	B0FFILHKDM	[]	ZARA	广东省	[]	购物服务;服装鞋帽皮具店;品牌服装店	061101	113.888637	22.552557	440000	广东省	ZARA
114.107196,22.543392	深南东路5016号京基100大厦A座B1层	罗湖区	深圳市	B02F38JDFD	[]	ZARA(京基百纳空间)	广东省	0755-33188230	购物服务;服装鞋帽皮具店;品牌服装店	061101	114.107196	22.543392	440000	广东省	ZARA
113.788964,23.022968	东城东路229号1层	东莞市	东莞市	B03018LLRQ	[]	ZARA(星河城店)	广东省	0769-23836251	购物服务;服装鞋帽皮具店;品牌服装店	061101	113.788964	23.022968	440000	广东省	ZARA
114.414860,23.104874	文昌一路9号华茂天地1楼L1101室铺位	惠城区	惠州市	B02F00QW5P	[]	ZARA(华茂天地店)	广东省	0752-7190570	购物服务;专卖店;专营店	061200	114.414860	23.104874	440000	广东省	ZARA
113.975727,22.537657	深南大道9028号益田假日广场B1层B1-42、B1-41	南山区	深圳市	B02F38JDHW	[]	ZARA(益田假日广场)	广东省	0755-86298750	购物服务;服装鞋帽皮具店;品牌服装店	061101	113.975727	22.537657	440000	广东省	ZARA
113.324507,23.132585	天河路218号天环广场B1层B101-103、B101-103	天河区	广州市	B00142451G	[]	ZARA(天环广场)	广东省	[]	购物服务;服装鞋帽皮具店;品牌服装店	061101	113.324507	23.132585	440000	广东省	ZARA
114.119971,22.539259	人民南路2028号金光华广场B1层	罗湖区	深圳市	B0FFF3JC1V	[]	ZARA(金光华广场)	广东省	0755-82611817	购物服务;服装鞋帽皮具店;品牌服装店	061101	114.119971	22.539259	440000	广东省	ZARA
113.366993,22.521140	兴中广场石岐区南基路2号1层02和2层02	中山市	中山市	B02F80SIEI	[]	ZARA(兴中广场店)	广东省	0760-88819010	购物服务;服装鞋帽皮具店;品牌服装店	061101	113.366993	22.521140	440000	广东省	ZARA
113.936308,22.517432	文心五路33号海岸城购物中心1层168-169号	南山区	深圳市	B0FFFCOQH3	[]	ZARA(海岸城店)	广东省	0755-86359431	购物服务;服装鞋帽皮具店;品牌服装店	061101	113.936308	22.517432	440000	广东省	ZARA
113.330464,23.132864	天河路230-232号万菱汇L2层L2-035-038	天河区	广州市	B0FFH3DOLQ	[]	ZARA(万菱汇)	广东省	020-28633070	购物服务;服装鞋帽皮具店;品牌服装店	061101	113.330464	23.132864	440000	广东省	ZARA
113.349674,23.007025	南村镇兴南大道368号万达广场1F层	番禺区	广州市	B0FFHKVIR2	[]	ZARA(番禹万达广场店)	广东省	[]	购物服务;服装鞋帽皮具店;品牌服装店	061101	113.349674	23.007025	440000	广东省	ZARA
114.059844,22.536410	福华一路3号怡景中心城B2层RG064	福田区	深圳市	B0FFF3GA0C	[]	ZARA(怡景中心城)	广东省	0755-82801103	购物服务;服装鞋帽皮具店;品牌服装店	061101	114.059844	22.536410	440000	广东省	ZARA
116.748881,23.367155	金砂东路179号星湖商业城F1层	龙湖区	汕头市	B02F20P6HU	[]	ZARA(星湖城店)	广东省	0754-89991850	购物服务;服装鞋帽皮具店;品牌服装店	061101	116.748881	23.367155	440000	广东省	ZARA
113.259286,23.089113	乐峰广场工业大道北106号之九B1层S44室(沙园地铁站A出口)	海珠区	广州市	B00141YD53	[]	ZARA(乐峰广场)	广东省	020-89308110	购物服务;服装鞋帽皮具店;品牌服装店	061101	113.259286	23.089113	440000	广东省	ZARA
113.153444,23.011671	季华7路与桂澜路交汇处鹏瑞利季华广场2层	南海区	佛山市	B0FFFZQNJ0	[]	ZARA(鹏瑞利季华广场店)	广东省	0757-81018820	购物服务;服装鞋帽皮具店;品牌服装店	061101	113.153444	23.011671	440000	广东省	ZARA
113.139619,23.043240	南海大道北49号南海广场F1层	南海区	佛山市	B02F510EQJ	[]	ZARA(南海广场店)	广东省	0757-86286020	购物服务;服装鞋帽皮具店;品牌服装店	061101	113.139619	23.043240	440000	广东省	ZARA
113.905635,22.559292	建安一路99号海雅缤纷城B1层4B13	宝安区	深圳市	B0FFF5FLQL	[]	ZARA(海雅缤纷城)	广东省	0755-23593150	购物服务;服装鞋帽皮具店;品牌服装店	061101	113.905635	22.559292	440000	广东省	ZARA
113.357429,22.924161	桥南街福德路281号奥园广场1F层106	番禺区	广州市	B00141YD7B	[]	ZARA(奥园广场)	广东省	020-39180511	购物服务;服装鞋帽皮具店;品牌服装店	061101	113.357429	22.924161	440000	广东省	ZARA
113.349107,23.007014	南村镇汉溪大道381号番禹万达广场1层	番禺区	广州市	B0FFFH0KAT	[]	ZARA(番禹万达广场店)	广东省	020-31130770	购物服务;服装鞋帽皮具店;品牌服装店	061101	113.349107	23.007014	440000	广东省	ZARA
113.788893,23.022767	东升路星河城F1层	东莞市	东莞市	B0FFHH3ABN	[]	ZARA(星河城)	广东省	[]	购物服务;服装鞋帽皮具店;品牌服装店	061101	113.788893	23.022767	440000	广东省	ZARA
114.242524,22.713975	中心城龙城区龙翔大道7188号1层01-28	龙岗区	深圳市	B0FFF73RJI	[]	ZARA(万科天誉中央广场店)	广东省	0755-84596140	购物服务;服装鞋帽皮具店;品牌服装店	061101	114.242524	22.713975	440000	广东省	ZARA
113.330647,23.132864	天河路230-232号万菱汇L1层L1-35-36	天河区	广州市	B00141IK99	[]	ZARA HOME(万菱汇)	广东省	020-28633070;020-28633200	购物服务;服装鞋帽皮具店;品牌服装店|购物服务;家居建材市场;家居建材市场	061101|060600	113.330647	23.132864	440000	广东省	ZARA
113.356869,22.924076	桥南街福德路281号奥园广场1F层104	番禺区	广州市	B0FFG40EBZ	[]	ZARA HOME(奥园广场店)	广东省	020-39180626	购物服务;专卖店;专营店	061200	113.356869	22.924076	440000	广东省	ZARA
113.887603,22.553473	壹方城	宝安区	深圳市	B0FFIKDUN0	[]	ZARA HOME(壹方城)	广东省	[]	购物服务;家居建材市场;布艺市场	060605	113.887603	22.553473	440000	广东省	ZARA
113.954298,22.541127	华润万象天地	南山区	深圳市	B0FFIGBQSG	[]	ZARA Home(华润万象天地)	广东省	[]	购物服务;家居建材市场;家居建材市场	060600	113.954298	22.541127	440000	广东省	ZARA
113.308771,23.151020	先烈东路附近	天河区	广州市	B0FFILSVK1	[]	zara.A	广东省	[]	购物服务;购物相关场所;购物相关场所	060000	113.308771	23.151020	440000	广东省	ZARA
118.126907,24.500995	嘉禾路468号SM CITY福建厦门1层	湖里区	厦门市	B02500QI6S	[]	ZARA(SM城市广场店)	福建省	0592-5095052	购物服务;服装鞋帽皮具店;品牌服装店	061101	118.126907	24.500995	350000	福建省	ZARA
118.176736,24.504899	仙岳路4666号万达广场万达百货1层	湖里区	厦门市	B02500VFOB	[]	ZARA(湖里万达广场店)	福建省	0592-5583700	购物服务;服装鞋帽皮具店;品牌服装店	061101	118.176736	24.504899	350000	福建省	ZARA
119.343007,26.053059	鳌峰路31号万达广场1F层	台江区	福州市	B0FFHBVXPY	[]	ZARA(万达广场)	福建省	0591-88359420	购物服务;服装鞋帽皮具店;品牌服装店	061101	119.343007	26.053059	350000	福建省	ZARA
118.996120,25.418462	荔华东大道8号万达广场万达百货1层	城厢区	莆田市	B02520NXVN	[]	ZARA(万达广场店)	福建省	0594-2508120	购物服务;服装鞋帽皮具店;品牌服装店	061101	118.996120	25.418462	350000	福建省	ZARA
119.539389,26.651809	天湖东路1号万达广场万达百货1层	蕉城区	宁德市	B02510PNEB	[]	ZARA(万达广场)	福建省	0593-2600010	购物服务;服装鞋帽皮具店;品牌服装店	061101	119.539389	26.651809	350000	福建省	ZARA
119.273338,26.035416	浦上大道尤溪洲大桥南下桥200米万达广场1F层	仓山区	福州市	B024F0ZFNB	[]	ZARA(万达广场)	福建省	0591-88257311	购物服务;服装鞋帽皮具店;品牌服装店	061101	119.273338	26.035416	350000	福建省	ZARA
118.599653,24.882018	宝洲街679号万达广场F1层	丰泽区	泉州市	B02530TE8K	[]	ZARA(万达广场)	福建省	0595-28687210	购物服务;服装鞋帽皮具店;品牌服装店	061101	118.599653	24.882018	350000	福建省	ZARA
119.325231,26.139450	新店镇坂中路6号三期6号楼泰禾广场1层m-1003(2层m-2003)	晋安区	福州市	B0FFF566KV	[]	ZARA(泰禾广场店)	福建省	0591-88511220	购物服务;服装鞋帽皮具店;服装鞋帽皮具店	061100	119.325231	26.139450	350000	福建省	ZARA
117.677259,24.497450	建元东路2号万达广场F1层	龙文区	漳州市	B02540QGPG	[]	ZARA(万达广场)	福建省	4008210302	购物服务;服装鞋帽皮具店;品牌服装店	061101	117.677259	24.497450	350000	福建省	ZARA
119.324670,26.139500	秀峰路188号泰禾广场F1层	晋安区	福州市	B0FFHW89T7	[]	ZARA(泰禾广场)	福建省	[]	购物服务;服装鞋帽皮具店;品牌服装店	061101	119.324670	26.139500	350000	福建省	ZARA
